,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
225,Longyearbyen,SJ,2022-04-11 03:26:43,78.2186,15.6401,10.24,56,0,17.27,clear sky,0,0
226,Ponta Delgada,PT,2022-04-11 03:26:44,37.7333,-25.6667,57.92,62,75,13.8,broken clouds,0,0
227,Saint-Philippe,RE,2022-04-11 03:26:44,-21.3585,55.7679,76.59,80,54,14.23,light rain,0,0
228,Manokwari,ID,2022-04-11 03:26:45,-0.8667,134.0833,80.65,79,100,11.74,overcast clouds,0,0
229,High Level,CA,2022-04-11 03:26:45,58.5169,-117.136,21.31,68,75,16.11,broken clouds,0,0
230,Lerwick,GB,2022-04-11 03:26:46,60.1545,-1.1494,33.8,65,100,1.74,overcast clouds,0,0
231,Ouallam,NE,2022-04-11 03:26:47,14.3188,2.0866,90.81,21,53,7.31,broken clouds,0,0
232,Georgetown,MY,2022-04-11 03:26:35,5.4112,100.3354,87.75,75,20,4.61,few clouds,0,0
233,Saldanha,ZA,2022-04-11 03:26:47,-33.0117,17.9442,62.65,47,16,7.47,few clouds,0,0
234,Terme,TR,2022-04-11 03:26:47,41.2092,36.9739,46.33,67,2,5.26,clear sky,0,0
235,Namatanai,PG,2022-04-11 03:26:48,-3.6667,152.4333,85.62,65,98,5.93,overcast clouds,0,0
236,Mareeba,AU,2022-04-11 03:26:49,-17.0,145.4333,84.67,80,44,8.77,scattered clouds,0,0
237,Laguna,US,2022-04-11 03:26:49,38.421,-121.4238,65.32,55,0,9.22,clear sky,0,0
238,Jalpan,MX,2022-04-11 03:26:50,21.2333,-99.4833,76.01,50,13,4.07,few clouds,0,0
239,Souillac,MU,2022-04-11 03:26:51,-20.5167,57.5167,77.38,73,40,10.36,scattered clouds,0,0
